"Var1","Freq","predicted_word","score"
"want",10062,"want",0.00105852779214057
"where",9885,"where",0.00103990729728777
"still",9725,"still",0.00102307521154513
"thanks",9686,"thanks",0.00101897239064536
"need",9499,"need",0.000999299890433642
"any",9409,"any",0.000989831842203404
"very",9337,"very",0.000982257403619214
"years",9308,"years",0.00097920658807836
"most",9237,"most",0.000971737350030061
"life",9112,"life",0.00095858728304362
"down",8936,"down",0.000940071988726711
"before",8921,"before",0.000938493980688338
"many",8750,"many",0.000920504689050886
"those",8724,"those",0.000917769475117706
"being",8460,"being",0.000889996533642342
"take",8403,"take",0.000884000103096525
"made",8399,"made",0.000883579300952959
"these",8367,"these",0.00088021288380443
"home",8325,"home",0.000875794461296986
"does",8316,"does",0.000874847656473962
"come",8268,"come",0.000869798030751169
"little",8267,"little",0.000869692830215277
"may",8106,"may",0.000852755543936741
"never",8055,"never",0.000847390316606273
"week",8002,"week",0.000841814688204022
"say",7984,"say",0.000839921078557974
"best",7924,"best",0.000833609046404482
"night",7906,"night",0.000831715436758435
"cannot",7822,"cannot",0.000822878591743546
"while",7762,"while",0.000816566559590055
"through",7720,"through",0.00081214813708261
"should",7687,"should",0.00080867651939819
"next",7630,"next",0.000802680088852373
"school",7466,"school",0.000785427200966162
"game",7385,"game",0.000776905957558948
"why",7317,"why",0.000769752321118324
"things",7272,"things",0.000765018297003205
"state",7240,"state",0.000761651879854676
"let",7163,"let",0.000753551438591028
"something",6915,"something",0.000727461705689929
"long",6904,"long",0.000726304499795122
"world",6727,"world",0.000707684004942321
"better",6637,"better",0.000698215956712083
"another",6591,"another",0.000693376732061073
"around",6563,"around",0.00069043111705611
"always",6525,"always",0.000686433496692232
"old",6482,"old",0.000681909873648896
"city",6465,"city",0.00068012146453874
"every",6451,"every",0.000678648657036259
"happy",6434,"happy",0.000676860247926103
"look",6370,"look",0.000670127413629045
"show",6335,"show",0.000666445394872841
"three",6244,"three",0.000656872146106712
"big",6224,"big",0.000654768135388882
"man",6067,"man",0.000638251651253912
"since",5904,"since",0.000621103963903592
"same",5901,"same",0.000620788362295917
"again",5853,"again",0.000615738736573124
"few",5825,"few",0.000612793121568161
"thing",5752,"thing",0.00060511348244808
"pay",5712,"pay",0.000600905461012418
"such",5700,"such",0.00059964305458172
"help",5684,"help",0.000597959846007456
"hope",5612,"hope",0.000590385407423265
"follow",5532,"follow",0.000581969364551943
"use",5513,"use",0.000579970554370004
"feel",5474,"feel",0.000575867733470234
"find",5430,"find",0.000571238909891007
"sure",5400,"sure",0.000568082893814261
"own",5356,"own",0.000563454070235034
"ever",5338,"ever",0.000561560460588986
"pa",5332,"pa",0.000560929257373637
"lot",5307,"lot",0.000558299243976349
"high",5267,"high",0.000554091222540688
"team",5267,"team",0.000554091222540688
"tonight",5263,"tonight",0.000553670420397122
"family",5241,"family",0.000551356008607508
"says",5228,"says",0.000549988401640918
"days",5218,"days",0.000548936396282003
"keep",5213,"keep",0.000548410393602545
"place",5143,"place",0.000541046356090138
"getting",5141,"getting",0.000540835955018355
"house",5141,"house",0.000540835955018355
"ands",5135,"ands",0.000540204751803006
"thank",5125,"thank",0.00053915274644409
"both",5089,"both",0.000535365527151995
"each",4990,"each",0.000524950674098734
"until",4985,"until",0.000524424671419276
"give",4973,"give",0.000523162264988578
"looking",4973,"looking",0.000523162264988578
"put",4936,"put",0.000519269845160591
"free",4867,"free",0.000512011008184076
"end",4864,"end",0.000511695406576401
"though",4844,"though",0.000509591395858571
"play",4722,"play",0.000496756930479804
"doing",4683,"doing",0.000492654109580034
"might",4623,"might",0.000486342077426542
"morning",4613,"morning",0.000485290072067627
"away",4602,"away",0.00048413286617282
"book",4586,"book",0.000482449657598556
"everyone",4565,"everyone",0.000480240446344834
"th",4533,"th",0.000476874029196305
"season",4478,"season",0.000471087999722271
"yes",4465,"yes",0.000469720392755681
"used",4447,"used",0.000467826783109633
"during",4442,"during",0.000467300780430176
"left",4415,"left",0.000464460365961104
"sta",4351,"sta",0.000457727531664046
"done",4347,"done",0.00045730672952048
"thought",4329,"thought",0.000455413119874433
"went",4302,"went",0.000452572705405361
"fun",4284,"fun",0.000450679095759314
"call",4222,"call",0.000444156662534039
"having",4221,"having",0.000444051461998147
"without",4212,"without",0.000443104657175124
"friends",4206,"friends",0.000442473453959774
"please",4171,"please",0.000438791435203571
"hard",4162,"hard",0.000437844630380547
"found",4156,"found",0.000437213427165198
"money",4139,"money",0.000435425018055042
"enough",4083,"enough",0.000429533788045116
"told",4058,"told",0.000426903774647828
"second",4057,"second",0.000426798574111937
"making",4031,"making",0.000424063360178757
"live",4025,"live",0.000423432156963408
"between",4022,"between",0.000423116555355733
"against",4017,"against",0.000422590552676275
"came",3982,"came",0.000418908533920072
"yet",3940,"yet",0.000414490111412628
"times",3939,"times",0.000414384910876736
"real",3935,"real",0.00041396410873317
"bad",3932,"bad",0.000413648507125495
"million",3929,"million",0.000413332905517821
"tell",3916,"tell",0.000411965298551231
"working",3907,"working",0.000411018493728207
"someone",3906,"someone",0.000410913293192316
"pretty",3888,"pretty",0.000409019683546268
"public",3868,"public",0.000406915672828437
"point",3857,"point",0.000405758466933631
"already",3856,"already",0.000405653266397739
"set",3834,"set",0.000403338854608125
"music",3831,"music",0.000403023253000451
"four",3788,"four",0.000398499629957115
"called",3773,"called",0.000396921621918742
"must",3764,"must",0.000395974817095718
"food",3738,"food",0.000393239603162539
"job",3736,"job",0.000393029202090755
"coming",3727,"coming",0.000392082397267732
"percent",3707,"percent",0.000389978386549901
"nice",3675,"nice",0.000386611969401372
"run",3673,"run",0.000386401568329589
"makes",3668,"makes",0.000385875565650131
"try",3657,"try",0.000384718359755325
"trying",3649,"trying",0.000383876755468192
"once",3648,"once",0.000383771554932301
"hit",3647,"hit",0.000383666354396409
"top",3645,"top",0.000383455953324626
"bit",3632,"bit",0.000382088346358036
"read",3610,"read",0.000379773934568423
"story",3605,"story",0.000379247931888965
"took",3596,"took",0.000378301127065941
"police",3557,"police",0.000374198306166172
"weekend",3539,"weekend",0.000372304696520124
"under",3534,"under",0.000371778693840666
"wait",3529,"wait",0.000371252691161209
"usa",3522,"usa",0.000370516287409968
"twitter",3513,"twitter",0.000369569482586944
"far",3483,"far",0.000366413466510198
"friday",3481,"friday",0.000366203065438415
"tomorrow",3479,"tomorrow",0.000365992664366632
"county",3470,"county",0.000365045859543609
"different",3457,"different",0.000363678252577019
"actually",3415,"actually",0.000359259830069574
"open",3413,"open",0.000359049428997791
"business",3411,"business",0.000358839027926008
"least",3400,"least",0.000357681822031201
"name",3399,"name",0.00035757662149531
"everything",3395,"everything",0.000357155819351744
"check",3394,"check",0.000357050618815852
"head",3382,"head",0.000355788212385154
"win",3348,"win",0.000352211394164842
"room",3330,"room",0.000350317784518794
"post",3315,"post",0.000348739776480421
"nothing",3305,"nothing",0.000347687771121506
"company",3289,"company",0.000346004562547242
"soon",3279,"soon",0.000344952557188326
"maybe",3274,"maybe",0.000344426554508869
"together",3258,"together",0.000342743345934604
"early",3245,"early",0.000341375738968014
"kids",3240,"kids",0.000340849736288557
"later",3221,"later",0.000338850926106618
"anything",3218,"anything",0.000338535324498943
"full",3203,"full",0.00033695731646057
"stop",3201,"stop",0.000336746915388787
"person",3194,"person",0.000336010511637546
"course",3193,"course",0.000335905311101655
"small",3143,"small",0.000330645284307078
"anyone",3140,"anyone",0.000330329682699404
"change",3136,"change",0.000329908880555838
"water",3136,"water",0.000329908880555838
"staed",3133,"staed",0.000329593278948163
"girl",3130,"girl",0.000329277677340488
"past",3104,"past",0.000326542463407309
"month",3098,"month",0.000325911260191959
"wanted",3098,"wanted",0.000325911260191959
"hey",3073,"hey",0.000323281246794671
"talk",3070,"talk",0.000322965645186997
"guys",3068,"guys",0.000322755244115214
"white",3068,"white",0.000322755244115214
"children",3063,"children",0.000322229241435756
"friend",3047,"friend",0.000320546032861491
"ago",3039,"ago",0.000319704428574359
"group",3024,"group",0.000318126420535986
"awesome",3008,"awesome",0.000316443211961722
"five",2996,"five",0.000315180805531023
"kind",2991,"kind",0.000314654802851566
"less",2985,"less",0.000314023599636217
"news",2980,"news",0.000313497596956759
"center",2979,"center",0.000313392396420867
"side",2967,"side",0.000312129989990169
"saw",2966,"saw",0.000312024789454277
"believe",2951,"believe",0.000310446781415905
"care",2950,"care",0.000310341580880013
"able",2943,"able",0.000309605177128772
"ready",2940,"ready",0.000309289575521098
"half",2927,"half",0.000307921968554508
"class",2918,"class",0.000306975163731484
"minutes",2907,"minutes",0.000305817957836677
"case",2901,"case",0.000305186754621328
"hours",2900,"hours",0.000305081554085437
"president",2886,"president",0.000303608746582955
"including",2883,"including",0.000303293144975281
"watch",2873,"watch",0.000302241139616365
"myself",2843,"myself",0.000299085123539619
"suppo",2836,"suppo",0.000298348719788379
"watching",2832,"watching",0.000297927917644812
"car",2813,"car",0.000295929107462873
"office",2799,"office",0.000294456299960392
"amazing",2795,"amazing",0.000294035497816826
"almost",2782,"almost",0.000292667890850236
"line",2778,"line",0.00029224708870667
"true",2774,"true",0.000291826286563104
"games",2768,"games",0.000291195083347755
"others",2761,"others",0.000290458679596514
"law",2755,"law",0.000289827476381165
"idea",2743,"idea",0.000288565069950466
"hea",2738,"hea",0.000288039067271009
"young",2734,"young",0.000287618265127443
"probably",2731,"probably",0.000287302663519768
"miss",2725,"miss",0.000286671460304419
"mind",2722,"mind",0.000286355858696744
"months",2707,"months",0.000284777850658371
"area",2689,"area",0.000282884241012324
"forward",2677,"forward",0.000281621834581625
"hear",2656,"hear",0.000279412623327903
"yeah",2646,"yeah",0.000278360617968988
"cool",2645,"cool",0.000278255417433096
"saturday",2645,"saturday",0.000278255417433096
"students",2639,"students",0.000277624214217747
"face",2638,"face",0.000277519013681856
"asked",2632,"asked",0.000276887810466507
"along",2627,"along",0.000276361807787049
"using",2620,"using",0.000275625404035808
"beautiful",2612,"beautiful",0.000274783799748676
"favorite",2606,"favorite",0.000274152596533327
"seen",2601,"seen",0.000273626593853869
"whole",2601,"whole",0.000273626593853869
"following",2576,"following",0.000270996580456581
"country",2574,"country",0.000270786179384798
"else",2566,"else",0.000269944575097666
"taking",2563,"taking",0.000269628973489991
"national",2562,"national",0.000269523772954099
"however",2559,"however",0.000269208171346425
"late",2552,"late",0.000268471767595184
"playing",2549,"playing",0.00026815616598751
"monday",2548,"monday",0.000268050965451618
"blog",2546,"blog",0.000267840564379835
"several",2544,"several",0.000267630163308052
"weeks",2539,"weeks",0.000267104160628594
"women",2538,"women",0.000266998960092703
"fact",2532,"fact",0.000266367756877354
"plan",2519,"plan",0.000265000149910764
"local",2518,"local",0.000264894949374872
"guy",2517,"guy",0.000264789748838981
"number",2511,"number",0.000264158545623631
"government",2503,"government",0.000263316941336499
"summer",2498,"summer",0.000262790938657042
"wish",2498,"wish",0.000262790938657042
"comes",2487,"comes",0.000261633732762235
"mother",2481,"mother",0.000261002529546885
"community",2468,"community",0.000259634922580296
"remember",2463,"remember",0.000259108919900838
"power",2459,"power",0.000258688117757272
"mean",2456,"mean",0.000258372516149597
"movie",2456,"movie",0.000258372516149597
"often",2455,"often",0.000258267315613706
"according",2448,"according",0.000257530911862465
"needs",2443,"needs",0.000257004909183007
"lost",2434,"lost",0.000256058104359984
"hate",2433,"hate",0.000255952903824092
"stay",2433,"stay",0.000255952903824092
"gonna",2423,"gonna",0.000254900898465177
"become",2421,"become",0.000254690497393394
"sunday",2402,"sunday",0.000252691687211455
"red",2398,"red",0.000252270885067889
"health",2393,"health",0.000251744882388431
"baby",2389,"baby",0.000251324080244865
"hand",2387,"hand",0.000251113679173082
"street",2385,"street",0.000250903278101299
"looks",2383,"looks",0.000250692877029516
"park",2376,"park",0.000249956473278275
"move",2375,"move",0.000249851272742383
"finally",2367,"finally",0.000249009668455251
"based",2365,"based",0.000248799267383468
"add",2363,"add",0.000248588866311685
"thinking",2352,"thinking",0.000247431660416878
"close",2342,"close",0.000246379655057963
"phone",2323,"phone",0.000244380844876024
"couple",2321,"couple",0.000244170443804241
"special",2319,"special",0.000243960042732458
"impoant",2298,"impoant",0.000241750831478736
"word",2298,"word",0.000241750831478736
"cou",2289,"cou",0.000240804026655712
"excited",2289,"excited",0.000240804026655712
"sometimes",2286,"sometimes",0.000240488425048037
"road",2283,"road",0.000240172823440363
"bring",2272,"bring",0.000239015617545556
"series",2272,"series",0.000239015617545556
"instead",2262,"instead",0.00023796361218664
"cut",2254,"cut",0.000237122007899508
"ask",2249,"ask",0.000236596005220051
"service",2248,"service",0.000236490804684159
"april",2246,"april",0.000236280403612376
"bihday",2229,"bihday",0.00023449199450222
"list",2228,"list",0.000234386793966328
"mom",2228,"mom",0.000234386793966328
"college",2223,"college",0.000233860791286871
"saying",2223,"saying",0.000233860791286871
"john",2220,"john",0.000233545189679196
"means",2219,"means",0.000233439989143305
"men",2210,"men",0.000232493184320281
"film",2205,"film",0.000231967181640823
"share",2200,"share",0.000231441178961366
"program",2193,"program",0.000230704775210125
"third",2191,"third",0.000230494374138342
"hour",2187,"hour",0.000230073571994776
"board",2180,"board",0.000229337168243535
"hot",2175,"hot",0.000228811165564077
"song",2150,"song",0.000226181152166789
"light",2149,"light",0.000226075951630898
"enjoy",2146,"enjoy",0.000225760350023223
"outside",2146,"outside",0.000225760350023223
"leave",2143,"leave",0.000225444748415548
"stuff",2141,"stuff",0.000225234347343765
"project",2139,"project",0.000225023946271982
"event",2131,"event",0.00022418234198485
"university",2129,"university",0.000223971940913067
"experience",2122,"experience",0.000223235537161826
"behind",2118,"behind",0.00022281473501826
"words",2115,"words",0.000222499133410586
"six",2111,"six",0.000222078331267019
"running",2101,"running",0.000221026325908104
"whether",2099,"whether",0.000220815924836321
"buy",2098,"buy",0.00022071072430043
"books",2095,"books",0.000220395122692755
"former",2094,"former",0.000220289922156863
"either",2089,"either",0.000219763919477406
"meet",2088,"meet",0.000219658718941514
"future",2087,"future",0.000219553518405623
"social",2087,"social",0.000219553518405623
"information",2083,"information",0.000219132716262057
"talking",2075,"talking",0.000218291111974924
"quite",2070,"quite",0.000217765109295467
"heard",2065,"heard",0.000217239106616009
"reading",2063,"reading",0.000217028705544226
"tweet",2058,"tweet",0.000216502702864768
"york",2056,"york",0.000216292301792985
"problem",2052,"problem",0.000215871499649419
"turn",2051,"turn",0.000215766299113528
"deal",2048,"deal",0.000215450697505853
"ok",2041,"ok",0.000214714293754612
"gets",2024,"gets",0.000212925884644456
"history",2019,"history",0.000212399881964999
"reason",2018,"reason",0.000212294681429107
"system",2018,"system",0.000212294681429107
"seems",2016,"seems",0.000212084280357324
"visit",2013,"visit",0.00021176867874965
"video",2011,"video",0.000211558277677866
"child",2007,"child",0.0002111374755343
"perfect",2005,"perfect",0.000210927074462517
"front",2000,"front",0.00021040107178306
"given",1998,"given",0.000210190670711277
"goes",1995,"goes",0.000209875069103602
"bill",1994,"bill",0.00020976986856771
"writing",1987,"writing",0.00020903346481647
"order",1986,"order",0.000208928264280578
"sho",1985,"sho",0.000208823063744687
"thursday",1984,"thursday",0.000208717863208795
"especially",1983,"especially",0.000208612662672904
"market",1983,"market",0.000208612662672904
"obama",1980,"obama",0.000208297061065229
"sorry",1978,"sorry",0.000208086659993446
"woman",1978,"woman",0.000208086659993446
"knew",1974,"knew",0.00020766585784988
"san",1967,"san",0.000206929454098639
"beer",1965,"beer",0.000206719053026856
"living",1961,"living",0.00020629825088329
"tuesday",1961,"tuesday",0.00020629825088329
"media",1956,"media",0.000205772248203832
"sleep",1947,"sleep",0.000204825443380809
"feeling",1946,"feeling",0.000204720242844917
"members",1943,"members",0.000204404641237242
"rather",1938,"rather",0.000203878638557785
"large",1933,"large",0.000203352635878327
"rest",1930,"rest",0.000203037034270653
"states",1930,"states",0.000203037034270653
"green",1929,"green",0.000202931833734761
"body",1927,"body",0.000202721432662978
"meeting",1922,"meeting",0.00020219542998352
"question",1919,"question",0.000201879828375846
"wrong",1919,"wrong",0.000201879828375846
"sweet",1914,"sweet",0.000201353825696388
"needed",1908,"needed",0.000200722622481039
"easy",1907,"easy",0.000200617421945147
"moment",1899,"moment",0.000199775817658015
"south",1898,"south",0.000199670617122124
"points",1883,"points",0.000198092609083751
"chance",1881,"chance",0.000197882208011968
"gave",1878,"gave",0.000197566606404293
"final",1871,"final",0.000196830202653052
"felt",1869,"felt",0.000196619801581269
"played",1868,"played",0.000196514601045378
"building",1862,"building",0.000195883397830029
"officials",1861,"officials",0.000195778197294137
"fall",1860,"fall",0.000195672996758245
"welcome",1859,"welcome",0.000195567796222354
"eat",1858,"eat",0.000195462595686462
"known",1858,"known",0.000195462595686462
"decided",1848,"decided",0.000194410590327547
"cause",1845,"cause",0.000194094988719873
"main",1845,"main",0.000194094988719873
"across",1841,"across",0.000193674186576306
"wants",1839,"wants",0.000193463785504523
"among",1837,"among",0.00019325338443274
"pick",1829,"pick",0.000192411780145608
"wo",1826,"wo",0.000192096178537933
"town",1821,"town",0.000191570175858476
"march",1820,"march",0.000191464975322584
"guess",1816,"guess",0.000191044173179018
"walk",1815,"walk",0.000190938972643127
"single",1814,"single",0.000190833772107235
"learn",1813,"learn",0.000190728571571344
"repo",1813,"repo",0.000190728571571344
"tv",1810,"tv",0.000190412969963669
"wednesday",1809,"wednesday",0.000190307769427777
"parents",1806,"parents",0.000189992167820103
"coach",1804,"coach",0.00018978176674832
"matter",1804,"matter",0.00018978176674832
"fans",1801,"fans",0.000189466165140645
"available",1789,"available",0.000188203758709947
"shot",1777,"shot",0.000186941352279249
"lead",1771,"lead",0.000186310149063899
"spring",1769,"spring",0.000186099747992116
"director",1765,"director",0.00018567894584855
"district",1762,"district",0.000185363344240876
"noh",1760,"noh",0.000185152943169093
"store",1758,"store",0.000184942542097309
"federal",1757,"federal",0.000184837341561418
"near",1750,"near",0.000184100937810177
"break",1746,"break",0.000183680135666611
"within",1741,"within",0.000183154132987153
"paper",1739,"paper",0.00018294373191537
"staing",1738,"staing",0.000182838531379479
"boy",1737,"boy",0.000182733330843587
"taken",1737,"taken",0.000182733330843587
"crazy",1732,"crazy",0.00018220732816413
"turned",1732,"turned",0.00018220732816413
"self",1731,"self",0.000182102127628238
"depament",1729,"depament",0.000181891726556455
"ido",1719,"ido",0.00018083972119754
"possible",1717,"possible",0.000180629320125757
"added",1712,"added",0.000180103317446299
"yourself",1710,"yourself",0.000179892916374516
"field",1707,"field",0.000179577314766841
"won",1707,"won",0.000179577314766841
"glad",1705,"glad",0.000179366913695058
"drive",1704,"drive",0.000179261713159167
"tax",1703,"tax",0.000179156512623275
"online",1701,"online",0.000178946111551492
"ive",1698,"ive",0.000178630509943818
"com",1694,"com",0.000178209707800252
"tried",1694,"tried",0.000178209707800252
"gone",1690,"gone",0.000177788905656685
"bed",1688,"bed",0.000177578504584902
"rock",1684,"rock",0.000177157702441336
"although",1682,"although",0.000176947301369553
"dinner",1682,"dinner",0.000176947301369553
"inside",1675,"inside",0.000176210897618312
"west",1675,"west",0.000176210897618312
"players",1674,"players",0.000176105697082421
"lives",1666,"lives",0.000175264092795289
"loved",1666,"loved",0.000175264092795289
"happen",1653,"happen",0.000173896485828699
"card",1651,"card",0.000173686084756916
"takes",1651,"takes",0.000173686084756916
"record",1650,"record",0.000173580884221024
"facebook",1645,"facebook",0.000173054881541567
"wonderful",1643,"wonderful",0.000172844480469784
"air",1639,"air",0.000172423678326217
"star",1639,"star",0.000172423678326217
"site",1638,"site",0.000172318477790326
"low",1636,"low",0.000172108076718543
"hair",1635,"hair",0.000172002876182651
"son",1634,"son",0.00017189767564676
"ya",1634,"ya",0.00017189767564676
"process",1632,"process",0.000171687274574977
"general",1631,"general",0.000171582074039085
"round",1631,"round",0.000171582074039085
"space",1628,"space",0.000171266472431411
"happened",1624,"happened",0.000170845670287844
"christmas",1622,"christmas",0.000170635269216061
"super",1621,"super",0.00017053006868017
"sense",1619,"sense",0.000170319667608387
"issue",1615,"issue",0.000169898865464821
"strong",1615,"strong",0.000169898865464821
"age",1613,"age",0.000169688464393038
"write",1613,"write",0.000169688464393038
"spent",1611,"spent",0.000169478063321255
"huge",1610,"huge",0.000169372862785363
"level",1609,"level",0.000169267662249472
"wow",1608,"wow",0.00016916246171358
"ohio",1607,"ohio",0.000169057261177688
"works",1605,"works",0.000168846860105905
"father",1601,"father",0.000168426057962339
"cost",1595,"cost",0.00016779485474699
"per",1586,"per",0.000166848049923966
"eyes",1585,"eyes",0.000166742849388075
"understand",1581,"understand",0.000166322047244509
"interesting",1579,"interesting",0.000166111646172726
"club",1577,"club",0.000165901245100943
"ones",1577,"ones",0.000165901245100943
"seeing",1576,"seeing",0.000165796044565051
"page",1573,"page",0.000165480442957376
"wife",1571,"wife",0.000165270041885593
"schools",1568,"schools",0.000164954440277919
"blue",1562,"blue",0.00016432323706257
"picture",1558,"picture",0.000163902434919003
"human",1552,"human",0.000163271231703654
"woh",1549,"woh",0.00016295563009598
"definitely",1546,"definitely",0.000162640028488305
"email",1545,"email",0.000162534827952414
"worked",1541,"worked",0.000162114025808847
"major",1536,"major",0.00016158802312939
"funny",1535,"funny",0.000161482822593498
"questions",1535,"questions",0.000161482822593498
"control",1533,"control",0.000161272421521715
"america",1528,"america",0.000160746418842258
"trip",1521,"trip",0.000160010015091017
"looked",1520,"looked",0.000159904814555125
"yesterday",1519,"yesterday",0.000159799614019234
"shows",1515,"shows",0.000159378811875668
"energy",1511,"energy",0.000158958009732102
"chicago",1509,"chicago",0.000158747608660319
"recently",1506,"recently",0.000158432007052644
"war",1505,"war",0.000158326806516752
"conference",1498,"conference",0.000157590402765512
"waiting",1498,"waiting",0.000157590402765512
"longer",1492,"longer",0.000156959199550162
"himself",1490,"himself",0.000156748798478379
"middle",1487,"middle",0.000156433196870705
"cleveland",1486,"cleveland",0.000156327996334813
"ill",1486,"ill",0.000156327996334813
"education",1482,"education",0.000155907194191247
"recent",1479,"recent",0.000155591592583573
"nearly",1478,"nearly",0.000155486392047681
"plans",1470,"plans",0.000154644787760549
"style",1469,"style",0.000154539587224657
"ball",1463,"ball",0.000153908384009308
"services",1459,"services",0.000153487581865742
"jobs",1458,"jobs",0.00015338238132985
"sounds",1456,"sounds",0.000153171980258067
"bar",1455,"bar",0.000153066779722176
"send",1452,"send",0.000152751178114501
"create",1449,"create",0.000152435576506827
"political",1449,"political",0.000152435576506827
"wanna",1445,"wanna",0.000152014774363261
"finished",1443,"finished",0.000151804373291478
"clear",1441,"clear",0.000151593972219694
"goal",1440,"goal",0.000151488771683803
"lots",1437,"lots",0.000151173170076128
"hold",1435,"hold",0.000150962769004345
"band",1434,"band",0.000150857568468454
"fan",1434,"fan",0.000150857568468454
"player",1433,"player",0.000150752367932562
"brown",1429,"brown",0.000150331565788996
"lunch",1426,"lunch",0.000150015964181322
"giving",1425,"giving",0.00014991076364543
"personal",1423,"personal",0.000149700362573647
"hands",1416,"hands",0.000148963958822406
"decision",1415,"decision",0.000148858758286515
"began",1414,"began",0.000148753557750623
"washington",1413,"washington",0.000148648357214732
"held",1412,"held",0.00014854315667884
"likely",1412,"likely",0.00014854315667884
"weather",1410,"weather",0.000148332755607057
"sign",1401,"sign",0.000147385950784033
"continue",1400,"continue",0.000147280750248142
"sent",1396,"sent",0.000146859948104576
"act",1393,"act",0.000146544346496901
"race",1393,"race",0.000146544346496901
"simply",1389,"simply",0.000146123544353335
"challenge",1388,"challenge",0.000146018343817443
"fine",1387,"fine",0.000145913143281552
"above",1385,"above",0.000145702742209769
"door",1382,"door",0.000145387140602094
"wine",1382,"wine",0.000145387140602094
"dog",1378,"dog",0.000144966338458528
"cover",1375,"cover",0.000144650736850854
"benefit",1374,"benefit",0.000144545536314962
"ways",1368,"ways",0.000143914333099613
"issues",1367,"issues",0.000143809132563721
"step",1366,"step",0.00014370393202783
